date,market,brier_score,raw_mc_brier,improvement_pct
2026-04-05,HR,0.095,0.0955,0.52
2026-04-05,Hit,0.2405,0.256,6.05
2026-04-05,TB,0.2158,0.2253,4.22
2026-04-05,Run,0.2249,0.2335,3.68
2026-04-05,RBI,0.1993,0.2121,6.03
2026-04-05,HR,0.095,0.0955,0.52
2026-04-05,Hit,0.2405,0.256,6.05
2026-04-05,TB,0.2158,0.2253,4.22
2026-04-05,Run,0.2249,0.2335,3.68
2026-04-05,RBI,0.1993,0.2121,6.03
2026-04-05,HR,0.095,0.0955,0.52
2026-04-05,Hit,0.2405,0.256,6.05
2026-04-05,TB,0.2158,0.2253,4.22
2026-04-05,Run,0.2249,0.2335,3.68
2026-04-05,RBI,0.1993,0.2121,6.03
2026-04-05,HR,0.095,0.0955,0.52
2026-04-05,Hit,0.2405,0.256,6.05
2026-04-05,TB,0.2158,0.2253,4.22
2026-04-05,Run,0.2249,0.2335,3.68
2026-04-05,RBI,0.1993,0.2121,6.03
2026-04-05,HR,0.095,0.0955,0.52
2026-04-05,Hit,0.2405,0.256,6.05
2026-04-05,TB,0.2158,0.2253,4.22
2026-04-05,Run,0.2249,0.2335,3.68
2026-04-05,RBI,0.1993,0.2121,6.03
2026-04-05,HR,0.095,0.0955,0.52
2026-04-05,Hit,0.2405,0.256,6.05
2026-04-05,TB,0.2158,0.2253,4.22
2026-04-05,Run,0.2249,0.2335,3.68
2026-04-05,RBI,0.1993,0.2121,6.03
