Matchup,Stadium,Pitcher,Pitcher Archetype,Pitch Type,Contextual Usage % (vs Batter),Velocity (mph),Batter,Batter Archetype,Platoon Adv,Batter xwOBA vs Pitch
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Fastball,50.0%,94.5,Ben Williamson (R),Balanced,No,0.282
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Breaking,30.0%,84.0,Ben Williamson (R),Balanced,No,0.229
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Offspeed,20.0%,85.5,Ben Williamson (R),Balanced,No,0.229
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Fastball,35.0%,94.5,Carson Williams (R),Slugger,No,0.247
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Breaking,40.0%,84.0,Carson Williams (R),Slugger,No,0.2
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Offspeed,25.0%,85.5,Carson Williams (R),Slugger,No,0.2
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Fastball,50.0%,94.5,Cedric Mullins (R),Balanced,No,0.298
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Breaking,30.0%,84.0,Cedric Mullins (R),Balanced,No,0.241
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Offspeed,20.0%,85.5,Cedric Mullins (R),Balanced,No,0.241
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Fastball,60.0%,94.5,Chandler Simpson (R),Contact,No,0.312
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Breaking,25.0%,84.0,Chandler Simpson (R),Contact,No,0.252
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Offspeed,15.0%,85.5,Chandler Simpson (R),Contact,No,0.252
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Fastball,50.0%,94.5,Hunter Feduccia (R),Balanced,No,0.289
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Breaking,30.0%,84.0,Hunter Feduccia (R),Balanced,No,0.234
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Offspeed,20.0%,85.5,Hunter Feduccia (R),Balanced,No,0.234
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Fastball,50.0%,94.5,Jake Fraley (R),Balanced,No,0.331
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Breaking,30.0%,84.0,Jake Fraley (R),Balanced,No,0.268
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Offspeed,20.0%,85.5,Jake Fraley (R),Balanced,No,0.268
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Fastball,50.0%,94.5,Jonathan Aranda (R),Balanced,No,0.401
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Breaking,30.0%,84.0,Jonathan Aranda (R),Balanced,No,0.325
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Offspeed,20.0%,85.5,Jonathan Aranda (R),Balanced,No,0.325
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Fastball,50.0%,94.5,Jonny DeLuca (R),Balanced,No,0.28
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Breaking,30.0%,84.0,Jonny DeLuca (R),Balanced,No,0.227
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Offspeed,20.0%,85.5,Jonny DeLuca (R),Balanced,No,0.227
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Fastball,50.0%,94.5,Junior Caminero (R),Balanced,No,0.363
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Breaking,30.0%,84.0,Junior Caminero (R),Balanced,No,0.294
Tampa Bay Rays vs Michael McGreevy (RHP),Busch Stadium,Michael McGreevy,Balanced,Offspeed,20.0%,85.5,Junior Caminero (R),Balanced,No,0.294
St. Louis Cardinals vs Joe Boyle (RHP),Busch Stadium,Joe Boyle,Spin,Fastball,50.0%,93.5,Alec Burleson (R),Contact,No,0.362
St. Louis Cardinals vs Joe Boyle (RHP),Busch Stadium,Joe Boyle,Spin,Breaking,40.0%,84.0,Alec Burleson (R),Contact,No,0.293
St. Louis Cardinals vs Joe Boyle (RHP),Busch Stadium,Joe Boyle,Spin,Offspeed,10.0%,86.0,Alec Burleson (R),Contact,No,0.293
St. Louis Cardinals vs Joe Boyle (RHP),Busch Stadium,Joe Boyle,Spin,Fastball,40.0%,93.5,Iván Herrera (R),Balanced,No,0.39
St. Louis Cardinals vs Joe Boyle (RHP),Busch Stadium,Joe Boyle,Spin,Breaking,45.0%,84.0,Iván Herrera (R),Balanced,No,0.315
St. Louis Cardinals vs Joe Boyle (RHP),Busch Stadium,Joe Boyle,Spin,Offspeed,15.0%,86.0,Iván Herrera (R),Balanced,No,0.315
St. Louis Cardinals vs Joe Boyle (RHP),Busch Stadium,Joe Boyle,Spin,Fastball,40.0%,93.5,JJ Wetherholt * (R),Balanced,No,0.336
St. Louis Cardinals vs Joe Boyle (RHP),Busch Stadium,Joe Boyle,Spin,Breaking,45.0%,84.0,JJ Wetherholt * (R),Balanced,No,0.272
St. Louis Cardinals vs Joe Boyle (RHP),Busch Stadium,Joe Boyle,Spin,Offspeed,15.0%,86.0,JJ Wetherholt * (R),Balanced,No,0.272
St. Louis Cardinals vs Joe Boyle (RHP),Busch Stadium,Joe Boyle,Spin,Fastball,40.0%,93.5,Jordan Walker (R),Balanced,No,0.292
St. Louis Cardinals vs Joe Boyle (RHP),Busch Stadium,Joe Boyle,Spin,Breaking,45.0%,84.0,Jordan Walker (R),Balanced,No,0.236
St. Louis Cardinals vs Joe Boyle (RHP),Busch Stadium,Joe Boyle,Spin,Offspeed,15.0%,86.0,Jordan Walker (R),Balanced,No,0.236
St. Louis Cardinals vs Joe Boyle (RHP),Busch Stadium,Joe Boyle,Spin,Fastball,50.0%,93.5,José Fermín (R),Contact,No,0.349
St. Louis Cardinals vs Joe Boyle (RHP),Busch Stadium,Joe Boyle,Spin,Breaking,40.0%,84.0,José Fermín (R),Contact,No,0.282
St. Louis Cardinals vs Joe Boyle (RHP),Busch Stadium,Joe Boyle,Spin,Offspeed,10.0%,86.0,José Fermín (R),Contact,No,0.282
St. Louis Cardinals vs Joe Boyle (RHP),Busch Stadium,Joe Boyle,Spin,Fastball,50.0%,93.5,Masyn Winn (R),Contact,No,0.3
St. Louis Cardinals vs Joe Boyle (RHP),Busch Stadium,Joe Boyle,Spin,Breaking,40.0%,84.0,Masyn Winn (R),Contact,No,0.243
St. Louis Cardinals vs Joe Boyle (RHP),Busch Stadium,Joe Boyle,Spin,Offspeed,10.0%,86.0,Masyn Winn (R),Contact,No,0.243
St. Louis Cardinals vs Joe Boyle (RHP),Busch Stadium,Joe Boyle,Spin,Fastball,40.0%,93.5,Nathan Church (R),Balanced,No,0.259
